ID;Block;ConditionLabel;Time;Target;Event;Key;EventLabel
s01;1;1 mask;0.16;-1;100;E;Block start
s01;1;1 mask;6.3;0;0;J;Pressed
s01;1;1 mask;6.3;1;0;K;Pressed
s01;1;1 mask;6.78;0;1;J;Released
s01;1;1 mask;6.78;1;1;K;Released
s01;1;1 mask;11.34;0;0;J;Pressed
s01;1;1 mask;11.34;1;0;K;Pressed
s01;1;1 mask;11.53;0;1;J;Released
s01;1;1 mask;11.55;1;1;K;Released
s01;1;1 mask;14.3;0;0;J;Pressed
s01;1;1 mask;14.52;0;1;J;Released
s01;1;1 mask;21.2;1;0;K;Pressed
s01;1;1 mask;21.44;1;1;K;Released
s01;1;1 mask;26.06;0;0;J;Pressed
s01;1;1 mask;26.06;1;0;K;Pressed
s01;1;1 mask;26.58;0;1;J;Released
s01;1;1 mask;26.58;1;1;K;Released
s01;1;1 mask;29.86;1;0;K;Pressed
s01;1;1 mask;29.88;0;0;J;Pressed
s01;1;1 mask;30.13;0;1;J;Released
s01;1;1 mask;30.14;1;1;K;Released
s01;1;1 mask;33.39;0;0;J;Pressed
s01;1;1 mask;33.5;1;0;K;Pressed
s01;1;1 mask;35.16;0;1;J;Released
s01;1;1 mask;35.16;1;1;K;Released
s01;1;1 mask;37.36;0;0;J;Pressed
s01;1;1 mask;37.36;1;0;K;Pressed
s01;1;1 mask;37.94;1;1;K;Released
s01;1;1 mask;37.95;0;1;J;Released
s01;1;1 mask;45.56;0;0;J;Pressed
s01;1;1 mask;45.59;1;0;K;Pressed
s01;1;1 mask;45.89;0;1;J;Released
s01;1;1 mask;45.91;1;1;K;Released
s01;1;1 mask;48.16;0;0;J;Pressed
s01;1;1 mask;48.16;1;0;K;Pressed
s01;1;1 mask;49.03;1;1;K;Released
s01;1;1 mask;49.11;0;1;J;Released
s01;1;1 mask;50.78;1;0;K;Pressed
s01;1;1 mask;50.83;0;0;J;Pressed
s01;1;1 mask;51.75;0;1;J;Released
s01;1;1 mask;51.77;1;1;K;Released
s01;1;1 mask;55.17;0;0;J;Pressed
s01;1;1 mask;55.17;1;0;K;Pressed
s01;1;1 mask;56.39;0;1;J;Released
s01;1;1 mask;56.41;1;1;K;Released
s01;1;1 mask;59.08;0;0;J;Pressed
s01;1;1 mask;59.09;1;0;K;Pressed
s01;1;1 mask;59.94;0;1;J;Released
s01;1;1 mask;59.94;1;1;K;Released
s01;1;1 mask;74.2;0;0;J;Pressed
s01;1;1 mask;74.2;1;0;K;Pressed
s01;1;1 mask;74.41;0;1;J;Released
s01;1;1 mask;74.41;1;1;K;Released
s01;1;1 mask;75.99;0;0;J;Pressed
