ID;EventType;ChangeMagnitude;MaxRT;MeanRT;MinRT;StdRT
s01;appearance;2;50.0;26.583333333333332;16.0;13.06945316608947
s01;appearance;3;67.0;45.473684210526315;33.0;13.61522195947785
s01;disappearance;2;517.0;140.57142857142858;33.0;174.52206846399795
s01;disappearance;3;382.0;143.3;34.0;92.8502472858992
s02;appearance;2;51.0;27.615384615384617;16.0;10.53200251248911
s02;appearance;3;183.0;47.36363636363637;26.0;33.132555497067145
s02;disappearance;2;83.0;36.916666666666664;16.0;18.173198714457275
s02;disappearance;3;100.0;55.875;33.0;19.724873945704015
s03;appearance;2;71.0;40.0;10.0;18.178130939247975
s03;appearance;3;82.0;35.54545454545455;23.0;17.212197426817422
s03;disappearance;2;82.0;45.5;11.0;21.864481598143495
s03;disappearance;3;376.0;70.0;35.0;69.92036286273937
s05;appearance;2;33.0;18.666666666666668;16.0;5.385164807134504
s05;appearance;3;50.0;35.0;33.0;4.898979485566356
s05;disappearance;2;134.0;41.5;16.0;34.68348950789762
s05;disappearance;3;100.0;56.26315789473684;33.0;15.90192897195934
s06;appearance;2;50.0;25.0;16.0;11.794537341969422
s06;appearance;3;51.0;37.90909090909091;33.0;7.608948935043782
s06;disappearance;2;134.0;77.0909090909091;16.0;45.08980937075371
s06;disappearance;3;184.0;107.72727272727273;49.0;42.94424050100074
s07;appearance;2;36.0;21.7;16.0;8.327331171776732
s07;appearance;3;50.0;33.5;3.0;9.435242949909108
s07;disappearance;2;66.0;30.818181818181817;17.0;13.883934469869713
s07;disappearance;3;85.0;54.31818181818182;33.0;13.09447852972267
s08;appearance;2;51.0;26.22222222222222;17.0;14.729034063523802
s08;appearance;3;100.0;59.8;33.0;24.84817053521986
s08;disappearance;2;183.0;55.0;17.0;50.85272854036448
s08;disappearance;3;133.0;71.45;33.0;27.3196959989251
s09;appearance;2;33.0;19.8;16.0;7.429670248402684
s09;appearance;3;2098.0;135.38095238095238;33.0;449.78122195023616
s09;disappearance;2;134.0;43.75;16.0;46.46273468367649
s09;disappearance;3;200.0;83.3157894736842;33.0;55.34744060285489
s10;appearance;2;100.0;45.75;17.0;39.186519791036986
s10;appearance;3;216.0;56.7;33.0;56.48411772839827
s10;disappearance;2;166.0;103.5;49.0;55.235857918565905
s10;disappearance;3;250.0;96.55555555555556;35.0;66.78905432612277
s11;appearance;2;50.0;21.181818181818183;16.0;10.916209798443614
s11;appearance;3;51.0;35.25;33.0;5.38882860037416
s11;disappearance;2;83.0;44.8;16.0;28.346271555728652
s11;disappearance;3;100.0;43.095238095238095;33.0;20.839637141526147
s12;appearance;2;83.0;45.875;17.0;22.611232985904532
s12;appearance;3;83.0;42.31578947368421;33.0;15.899170598839241
s12;disappearance;2;450.0;85.25;16.0;148.4334867878539
s12;disappearance;3;516.0;85.27777777777777;34.0;109.4208312007069
s13;appearance;2;67.0;40.857142857142854;17.0;16.128944700223173
s13;appearance;3;116.0;65.66666666666667;33.0;28.396847578225163
s13;disappearance;2;233.0;87.375;17.0;85.67536318652438
s13;disappearance;3;250.0;87.93333333333334;50.0;64.4254460228107
s14;appearance;2;99.0;31.4;16.0;26.222128060094587
s14;appearance;3;50.0;35.0;33.0;4.879500364742666
s14;disappearance;2;99.0;53.4;16.0;25.84225652341959
s14;disappearance;3;266.0;74.52380952380952;33.0;51.10539995697035
s15;appearance;2;67.0;30.181818181818183;16.0;20.82699297459036
s15;appearance;3;67.0;37.0;33.0;8.761387148271943
s15;disappearance;2;433.0;123.5;33.0;122.02117302610505
s15;disappearance;3;317.0;121.28571428571429;50.0;77.5571678551653
s16;appearance;2;34.0;25.0;16.0;8.881941729649485
s16;appearance;3;67.0;42.18181818181818;31.0;11.15533766595877
s16;disappearance;2;134.0;50.1;16.0;37.89591006955764
s16;disappearance;3;333.0;68.0;33.0;71.38181586625291
s17;appearance;2;50.0;27.181818181818183;16.0;11.39138430409739
s17;appearance;3;83.0;40.26315789473684;33.0;12.79254168674144
s17;disappearance;2;367.0;108.25;16.0;118.12795725701129
s17;disappearance;3;84.0;57.0;33.0;18.780308836651223
s18;appearance;2;66.0;29.666666666666668;16.0;18.0
s18;appearance;3;84.0;44.57142857142857;33.0;15.289118446043345
s18;disappearance;2;250.0;74.11111111111111;16.0;71.21524493471262
s18;disappearance;3;500.0;93.3;33.0;106.07747913175243
s19;appearance;2;84.0;36.9;17.0;28.013687130877056
s19;appearance;3;116.0;41.95238095238095;33.0;18.588911185102237
s19;disappearance;2;483.0;190.1;17.0;159.8113123516466
s19;disappearance;3;600.0;236.45;49.0;181.6823355547577
s20;appearance;2;84.0;48.22222222222222;16.0;27.022110288510863
s20;appearance;3;100.0;58.125;33.0;22.838198994958717
s20;disappearance;2;350.0;87.625;16.0;115.58044508356198
s20;disappearance;3;717.0;224.46666666666667;50.0;210.6384399414133
s21;appearance;2;84.0;33.22222222222222;16.0;22.303462611093472
s21;appearance;3;200.0;44.291666666666664;33.0;34.97512055691895
s21;disappearance;2;66.0;41.375;16.0;17.711477311941785
s21;disappearance;3;133.0;52.17391304347826;33.0;23.147063771995406
s22;appearance;2;46.0;15.3;11.0;10.791457526930992
s22;appearance;3;59.0;31.15;21.0;13.959622223813183
s22;disappearance;2;352.0;123.375;23.0;129.01598738140945
s22;disappearance;3;152.0;69.45454545454545;35.0;32.36801371243394
