ID;Block;Duration;Aligned;MasksN;Target;Event;Time
s01;1;30;0;1;0;0;16894
s01;1;30;0;1;0;1;17744
s01;1;30;0;1;1;0;19160
s01;1;30;0;1;0;0;19277
s01;1;30;0;1;0;1;20693
s01;1;30;0;1;1;1;20726
s01;1;30;0;1;0;0;21642
s01;1;30;0;1;0;1;22159
s01;1;30;0;1;2;0;22793
s01;1;30;0;1;1;0;23093
s01;1;30;0;1;0;0;23225
s01;1;30;0;1;2;1;23626
s01;1;30;0;1;1;1;23642
s01;1;30;0;1;0;1;23659
s01;1;30;0;1;0;0;24941
s01;1;30;0;1;1;0;24991
s01;1;30;0;1;0;1;25009
s01;1;30;0;1;1;1;26307
s01;2;30;1;3;1;0;11217
s01;2;30;1;3;1;1;11350
s01;2;30;1;3;2;0;15732
s01;2;30;1;3;0;0;15798
s01;2;30;1;3;1;0;15865
s01;2;30;1;3;1;1;16499
s01;2;30;1;3;0;1;16532
s01;2;30;1;3;2;1;16548
s01;4;30;1;1;0;0;7591
s01;4;30;1;1;2;0;7608
s01;4;30;1;1;1;0;7724
s01;4;30;1;1;2;1;7908
s01;4;30;1;1;1;1;7924
s01;4;30;1;1;0;1;7974
s01;4;30;1;1;0;0;10074
s01;4;30;1;1;0;1;10123
s01;4;30;1;1;1;0;10140
s01;4;30;1;1;0;0;10690
s01;4;30;1;1;1;1;10806
s01;4;30;1;1;0;1;10956
s01;4;30;1;1;0;0;13005
s01;4;30;1;1;1;0;13073
s01;4;30;1;1;0;1;13705
s01;4;30;1;1;1;1;13739
s01;4;30;1;1;0;0;15871
s01;4;30;1;1;1;0;15988
s01;4;30;1;1;0;1;17370
s01;4;30;1;1;1;1;17387
s01;4;30;1;1;2;0;20686
s01;4;30;1;1;1;0;20886
s01;4;30;1;1;2;1;21136
s01;4;30;1;1;0;0;21202
s01;4;30;1;1;1;1;21620
s01;4;30;1;1;0;1;21736
s01;4;30;1;1;0;0;25051
s01;4;30;1;1;1;0;25834
s01;4;30;1;1;2;0;26000
s01;4;30;1;1;1;1;26417
s01;4;30;1;1;2;1;26434
s01;4;30;1;1;0;1;26450
s01;5;120;0;1;1;0;6990
s01;5;120;0;1;1;1;8173
s01;5;120;0;1;0;0;11207
s01;5;120;0;1;1;0;11255
s01;5;120;0;1;1;1;13254
s01;5;120;0;1;0;1;13321
s01;5;120;0;1;1;0;22252
s01;5;120;0;1;1;1;22984
s01;5;120;0;1;1;0;26099
s01;5;120;0;1;1;1;26266
s01;5;120;0;1;1;0;41295
s01;5;120;0;1;0;0;41361
s01;5;120;0;1;1;1;41411
s01;5;120;0;1;0;1;41843
s01;5;120;0;1;1;0;56572
s01;5;120;0;1;1;1;56738
s01;5;120;0;1;2;0;62319
s01;5;120;0;1;0;0;62486
s01;5;120;0;1;1;0;62652
s01;5;120;0;1;1;1;62937
