ID;Block;Duration;Aligned;Target1;Target2;Target3;ChangeTime
s01;1;120;0;1;1;1;0
s01;1;120;0;0;0;0;3344
s01;1;120;0;1;1;1;5410
s01;1;120;0;0;1;1;8775
s01;1;120;0;1;1;1;11558
s01;1;120;0;0;0;0;15390
s01;1;120;0;1;1;1;18155
s01;1;120;0;0;0;0;21221
s01;1;120;0;1;1;1;22787
s01;1;120;0;1;0;1;25752
s01;1;120;0;1;1;1;27502
s01;1;120;0;0;0;0;31316
s01;1;120;0;1;1;1;33683
s01;1;120;0;1;0;0;36231
s01;1;120;0;1;1;1;37848
s01;1;120;0;1;0;0;41713
s01;1;120;0;1;1;1;44611
s01;1;120;0;0;0;1;48610
s01;1;120;0;1;1;1;51159
s01;1;120;0;0;0;0;55141
s01;1;120;0;1;1;1;57674
s01;1;120;0;1;0;1;61072
s01;1;120;0;1;1;1;63271
s01;1;120;0;0;0;0;67036
s01;1;120;0;1;1;1;68753
s01;1;120;0;0;1;1;70802
s01;1;120;0;1;1;1;73301
s01;1;120;0;0;0;0;75833
s01;1;120;0;1;1;1;78782
s01;1;120;0;0;1;0;81298
s01;1;120;0;1;1;1;82914
s01;1;120;0;0;0;0;85930
s01;1;120;0;1;1;1;88528
s01;1;120;0;0;1;0;91877
s01;1;120;0;1;1;1;93793
s01;1;120;0;0;1;0;96092
s01;1;120;0;1;1;1;99074
s01;1;120;0;1;0;1;101090
s01;1;120;0;1;1;1;103623
s01;1;120;0;0;0;0;105855
s01;1;120;0;1;1;1;108338
s01;1;120;0;0;0;0;111187
s01;1;120;0;1;1;1;113136
s01;1;120;0;0;0;0;116551
s01;1;120;0;1;1;1;118550
s01;2;120;1;1;1;1;0
s01;2;120;1;0;0;0;3933
s01;2;120;1;1;1;1;6516
s01;2;120;1;0;1;1;9498
s01;2;120;1;1;1;1;12380
s01;2;120;1;1;0;1;16129
s01;2;120;1;1;1;1;17978
s01;2;120;1;1;0;0;20511
s01;2;120;1;1;1;1;23242
s01;2;120;1;0;0;0;26491
s01;2;120;1;1;1;1;29307
s01;2;120;1;0;0;0;33206
s01;2;120;1;1;1;1;35222
s01;2;120;1;0;0;0;37671
s01;2;120;1;1;1;1;39887
s01;2;120;1;1;0;0;43085
s01;2;120;1;1;1;1;45334
s01;2;120;1;0;0;0;48217
s01;2;120;1;1;1;1;50099
s01;2;120;1;0;1;0;53748
s01;2;120;1;1;1;1;55714
s01;2;120;1;0;0;0;57946
s01;2;120;1;1;1;1;60045
s01;2;120;1;0;0;0;63277
s01;2;120;1;1;1;1;65693
s01;2;120;1;1;0;1;69475
s01;2;120;1;1;1;1;72308
s01;2;120;1;0;0;0;74689
s01;2;120;1;1;1;1;76973
s01;2;120;1;1;0;0;79288
s01;2;120;1;1;1;1;82087
s01;2;120;1;1;1;0;85836
s01;2;120;1;1;1;1;88035
s01;2;120;1;0;1;1;90501
s01;2;120;1;1;1;1;92316
s01;2;120;1;0;0;0;96032
s01;2;120;1;1;1;1;98214
s01;2;120;1;1;0;0;100264
s01;2;120;1;1;1;1;103062
s01;2;120;1;1;0;0;105328
s01;2;120;1;1;1;1;106861
s01;2;120;1;1;1;0;110093
s01;2;120;1;1;1;1;112225
s01;2;120;1;0;0;0;114724
s01;2;120;1;1;1;1;117424
s02;1;20;0;1;1;1;0
s02;1;20;0;0;0;0;2045
s02;1;20;0;1;1;1;4098
s02;1;20;0;0;0;0;8043
s02;1;20;0;1;1;1;10135
s02;1;20;0;0;1;1;13762
s02;1;20;0;1;1;1;15386
s02;1;20;0;0;1;0;17679
s02;1;20;0;1;1;1;19385
s02;2;20;1;1;1;1;0
s02;2;20;1;0;1;1;2148
s02;2;20;1;1;1;1;3707
s02;2;20;1;1;0;0;5800
s02;2;20;1;1;1;1;7865
s02;2;20;1;1;0;1;11638
s02;2;20;1;1;1;1;14489
s02;2;20;1;0;0;0;18234
s02;2;20;1;1;1;1;19807
s02;3;120;0;1;1;1;0
s02;3;120;0;0;0;1;2432
s02;3;120;0;1;1;1;4548
s02;3;120;0;0;0;0;8213
s02;3;120;0;1;1;1;9962
s02;3;120;0;1;1;0;13828
s02;3;120;0;1;1;1;15444
s02;3;120;0;0;1;0;18960
s02;3;120;0;1;1;1;20558
s02;3;120;0;0;0;0;24541
s02;3;120;0;1;1;1;27505
s02;3;120;0;0;0;0;30372
s02;3;120;0;1;1;1;32788
s02;3;120;0;0;0;0;36319
s02;3;120;0;1;1;1;38218
s02;3;120;0;1;0;1;42201
s02;3;120;0;1;1;1;45066
s02;3;120;0;0;1;1;47815
s02;3;120;0;1;1;1;50097
s02;3;120;0;0;0;0;53879
s02;3;120;0;1;1;1;55612
s02;3;120;0;0;0;0;58710
s02;3;120;0;1;1;1;60976
s02;3;120;0;0;0;0;63992
s02;3;120;0;1;1;1;66840
s02;3;120;0;0;0;1;70606
s02;3;120;0;1;1;1;73471
s02;3;120;0;0;0;0;75754
s02;3;120;0;1;1;1;77704
s02;3;120;0;0;0;1;81418
s02;3;120;0;1;1;1;83151
s02;3;120;0;1;1;0;86650
s02;3;120;0;1;1;1;88150
s02;3;120;0;0;0;0;91981
s02;3;120;0;1;1;1;94114
s02;3;120;0;0;0;0;96280
s02;3;120;0;1;1;1;97863
s02;3;120;0;0;1;0;100628
s02;3;120;0;1;1;1;103245
s02;3;120;0;0;0;1;106976
s02;3;120;0;1;1;1;109558
s02;3;120;0;1;0;1;112257
s02;3;120;0;1;1;1;114773
s02;3;120;0;0;0;0;116888
s02;3;120;0;1;1;1;119154
s02;4;120;1;1;1;1;0
s02;4;120;1;0;1;0;2450
s02;4;120;1;1;1;1;5115
s02;4;120;1;0;0;0;8748
s02;4;120;1;1;1;1;11430
s02;4;120;1;0;0;0;15312
s02;4;120;1;1;1;1;17844
s02;4;120;1;0;0;0;21543
s02;4;120;1;1;1;1;23858
s02;4;120;1;0;1;1;27441
s02;4;120;1;1;1;1;29008
s02;4;120;1;0;0;0;32405
s02;4;120;1;1;1;1;35070
s02;4;120;1;1;0;1;38236
s02;4;120;1;1;1;1;40285
s02;4;120;1;1;0;0;43834
s02;4;120;1;1;1;1;45717
s02;4;120;1;1;1;0;48350
s02;4;120;1;1;1;1;50882
s02;4;120;1;0;0;0;54397
s02;4;120;1;1;1;1;56529
s02;4;120;1;0;0;0;60295
s02;4;120;1;1;1;1;63077
s02;4;120;1;1;1;0;65826
s02;4;120;1;1;1;1;68558
s02;4;120;1;0;0;0;72490
s02;4;120;1;1;1;1;74690
s02;4;120;1;0;0;0;77439
s02;4;120;1;1;1;1;79354
s02;4;120;1;0;0;1;82720
s02;4;120;1;1;1;1;84719
s02;4;120;1;0;1;0;87084
s02;4;120;1;1;1;1;89783
s02;4;120;1;0;0;0;91816
s02;4;120;1;1;1;1;94565
s02;4;120;1;0;0;1;97398
s02;4;120;1;1;1;1;99829
s02;4;120;1;0;0;0;101929
s02;4;120;1;1;1;1;104161
s02;4;120;1;0;0;1;106627
s02;4;120;1;1;1;1;108576
s02;4;120;1;0;0;0;112142
s02;4;120;1;1;1;1;113641
s02;4;120;1;1;1;0;117539
s02;4;120;1;1;1;1;119389
s03;1;120;0;1;1;1;0
s03;1;120;0;0;0;1;2998
s03;1;120;0;1;1;1;5444
s03;1;120;0;0;0;0;7868
s03;1;120;0;1;1;1;9609
s03;1;120;0;0;0;0;11632
s03;1;120;0;1;1;1;14091
s03;1;120;0;0;0;0;16903
s03;1;120;0;1;1;1;19632
s03;1;120;0;0;0;0;22714
s03;1;120;0;1;1;1;24549
s03;1;120;0;1;0;0;27773
s03;1;120;0;1;1;1;30361
s03;1;120;0;1;1;0;32702
s03;1;120;0;1;1;1;34867
s03;1;120;0;0;1;1;37243
s03;1;120;0;1;1;1;39808
s03;1;120;0;0;0;0;43208
s03;1;120;0;1;1;1;45455
s03;1;120;0;0;0;0;47501
s03;1;120;0;1;1;1;49042
s03;1;120;0;0;0;0;52760
s03;1;120;0;1;1;1;54760
s03;1;120;0;0;0;1;58301
s03;1;120;0;1;1;1;60254
s03;1;120;0;1;1;0;62525
s03;1;120;0;1;1;1;65054
s03;1;120;0;0;0;0;67889
s03;1;120;0;1;1;1;69901
s03;1;120;0;1;0;0;73277
s03;1;120;0;1;1;1;75289
s03;1;120;0;1;0;1;78265
s03;1;120;0;1;1;1;80195
s03;1;120;0;0;0;0;82888
s03;1;120;0;1;1;1;85347
s03;1;120;0;0;0;0;88194
s03;1;120;0;1;1;1;91005
s03;1;120;0;1;1;0;93994
s03;1;120;0;1;1;1;96511
s03;1;120;0;1;0;1;99382
s03;1;120;0;1;1;1;102112
s03;1;120;0;0;0;0;106052
s03;1;120;0;1;1;1;108676
s03;1;120;0;0;0;0;112264
s03;1;120;0;1;1;1;114241
s03;1;120;0;0;1;0;117735
s03;2;120;1;1;1;1;0
s03;2;120;1;0;0;0;3690
s03;2;120;1;1;1;1;6489
s03;2;120;1;0;0;0;10396
s03;2;120;1;1;1;1;12736
s03;2;120;1;1;0;1;16536
s03;2;120;1;1;1;1;18254
s03;2;120;1;0;1;1;20960
s03;2;120;1;1;1;1;22595
s03;2;120;1;0;0;0;25324
s03;2;120;1;1;1;1;27089
s03;2;120;1;0;0;1;31066
s03;2;120;1;1;1;1;33430
s03;2;120;1;0;1;0;35794
s03;2;120;1;1;1;1;38065
s03;2;120;1;0;0;0;41124
s03;2;120;1;1;1;1;42829
s03;2;120;1;0;0;0;45453
s03;2;120;1;1;1;1;47782
s03;2;120;1;0;0;0;50123
s03;2;120;1;1;1;1;52276
s03;2;120;1;1;0;1;54323
