ID;Time;Target;Event;Key;EventLabel
s01;1.1;0;0;J;Pressed
s01;1.1;1;0;K;Pressed
s01;1.28;0;1;J;Released
s01;1.3;1;1;K;Released
s01;1.8;1;0;K;Pressed
s01;1.99;1;1;K;Released
s01;3.42;0;0;J;Pressed
s01;3.42;1;0;K;Pressed
s01;3.61;0;1;J;Released
s01;3.63;1;1;K;Released
s01;4.24;0;0;J;Pressed
s01;4.24;1;0;K;Pressed
s01;4.41;0;1;J;Released
s01;4.42;1;1;K;Released
s01;4.86;1;0;K;Pressed
s01;5.02;1;1;K;Released
s01;5.66;0;0;J;Pressed
s01;5.8100000000000005;0;1;J;Released
s01;6.53;0;0;J;Pressed
s01;6.55;1;0;K;Pressed
s01;6.72;0;1;J;Released
s01;6.72;1;1;K;Released
s01;8.02;1;0;K;Pressed
s01;8.16;1;1;K;Released
s01;8.5;0;0;J;Pressed
s01;8.64;0;1;J;Released
s01;9.61;0;0;J;Pressed
s01;9.61;1;0;K;Pressed
s01;9.77;1;1;K;Released
s01;9.8;0;1;J;Released
s01;10.38;0;0;J;Pressed
s01;10.38;1;0;K;Pressed
s01;10.53;0;1;J;Released
s01;10.53;1;1;K;Released
s01;11.11;1;0;K;Pressed
s01;11.3;1;1;K;Released
s01;11.66;0;0;J;Pressed
s01;11.8;0;1;J;Released
s01;12.83;0;0;J;Pressed
s01;12.83;1;0;K;Pressed
s01;13.0;0;1;J;Released
s01;13.0;1;1;K;Released
s01;13.52;1;0;K;Pressed
s01;13.56;0;0;J;Pressed
s01;13.75;0;1;J;Released
s01;13.77;1;1;K;Released
s01;14.35;1;0;K;Pressed
s01;14.49;1;1;K;Released
s01;14.86;0;0;J;Pressed
s01;15.03;0;1;J;Released
s01;16.02;0;0;J;Pressed
s01;16.02;1;0;K;Pressed
s01;16.22;0;1;J;Released
s01;16.22;1;1;K;Released
s01;16.81;0;0;J;Pressed
s01;16.81;1;0;K;Pressed
s01;16.92;0;1;J;Released
s01;16.92;1;1;K;Released
s01;17.39;1;0;K;Pressed
s01;17.53;1;1;K;Released
s01;18.06;0;0;J;Pressed
s01;18.19;0;1;J;Released
s01;19.2;0;0;J;Pressed
s01;19.2;1;0;K;Pressed
s01;19.41;0;1;J;Released
s01;19.41;1;1;K;Released
s01;19.91;1;0;K;Pressed
s01;19.94;0;0;J;Pressed
s01;20.11;0;1;J;Released
s01;20.13;1;1;K;Released
s01;20.69;1;0;K;Pressed
s01;20.83;1;1;K;Released
s01;21.19;0;0;J;Pressed
s01;21.3;0;1;J;Released
s01;22.38;0;0;J;Pressed
s01;22.38;1;0;K;Pressed
s01;22.55;0;1;J;Released
s01;22.55;1;1;K;Released
s01;22.97;1;0;K;Pressed
s01;23.05;0;0;J;Pressed
s01;23.25;0;1;J;Released
s01;23.27;1;1;K;Released
s01;23.8;1;0;K;Pressed
s01;23.94;1;1;K;Released
s01;24.3;0;0;J;Pressed
s01;24.45;0;1;J;Released
s01;25.53;0;0;J;Pressed
s01;25.53;1;0;K;Pressed
s01;25.74;0;1;J;Released
s01;25.75;1;1;K;Released
s01;26.22;1;0;K;Pressed
s01;26.25;0;0;J;Pressed
s01;26.41;0;1;J;Released
s01;26.41;1;1;K;Released
s01;27.44;0;0;J;Pressed
s01;27.58;0;1;J;Released
s01;28.7;0;0;J;Pressed
s01;28.72;1;0;K;Pressed
s01;28.86;0;1;J;Released
s01;28.86;1;1;K;Released
s01;29.42;1;0;K;Pressed
s01;29.44;0;0;J;Pressed
s01;29.53;0;1;J;Released
s01;29.58;1;1;K;Released
s01;30.1;1;0;K;Pressed
s01;30.22;1;1;K;Released
s01;30.61;0;0;J;Pressed
s01;30.75;0;1;J;Released
s01;31.91;0;0;J;Pressed
s01;31.92;1;0;K;Pressed
s01;32.06;0;1;J;Released
s01;32.06;1;1;K;Released
s01;32.53;1;0;K;Pressed
s01;32.56;0;0;J;Pressed
s01;32.69;1;1;K;Released
s01;32.7;0;1;J;Released
s01;33.25;1;0;K;Pressed
s01;33.35;1;1;K;Released
s01;33.52;0;0;J;Pressed
s01;33.63;0;1;J;Released
s01;33.89;0;0;J;Pressed
s01;34.0;0;1;J;Released
s01;35.02;0;0;J;Pressed
