ID;Block;BlockDuration;MasksN;Target;Event;Time
s01;1;120;1;0;0;6152
s01;1;120;1;0;1;8087
s01;1;120;1;0;0;11956
s01;1;120;1;0;1;15109
s01;1;120;1;0;0;19478
s01;1;120;1;0;1;22130
s01;1;120;1;0;0;22714
s01;1;120;1;0;1;26567
s01;1;120;1;0;0;30420
s01;1;120;1;0;1;36090
s01;1;120;1;0;0;39176
s01;1;120;1;0;1;43880
s01;1;120;1;0;0;46432
s01;1;120;1;0;1;49100
s01;1;120;1;0;0;54787
s01;1;120;1;0;1;55138
s01;1;120;1;0;0;57739
s01;1;120;1;0;1;59190
s01;1;120;1;0;0;62894
s01;1;120;1;0;1;63911
s01;1;120;1;0;0;71650
s01;1;120;1;0;1;72367
s01;1;120;1;0;0;74402
s01;1;120;1;0;1;81107
s01;1;120;1;0;0;83192
s01;1;120;1;2;0;84993
s01;1;120;1;0;1;85010
s01;1;120;1;2;1;85460
s01;1;120;1;0;0;89429
s01;1;120;1;0;1;93849
s01;1;120;1;2;0;93882
s01;1;120;1;0;0;94701
s01;1;120;1;2;1;94767
s01;1;120;1;0;1;95018
s01;1;120;1;2;0;98470
s01;1;120;1;2;1;98987
s01;1;120;1;0;0;102089
s01;1;120;1;0;1;109561
s01;1;120;1;2;0;109577
s01;1;120;1;0;0;110611
s01;1;120;1;2;1;110645
s01;1;120;1;0;1;113448
s01;1;120;1;0;0;114765
s01;1;120;1;0;1;117734
s01;1;120;1;2;0;117751
s01;1;120;1;2;1;118084
s01;1;120;1;0;0;118184
s01;1;120;1;0;1;120000
s01;2;120;3;0;0;2329
s01;2;120;3;0;1;8683
s01;2;120;3;0;0;9034
s01;2;120;3;0;1;11335
s01;2;120;3;0;0;11685
s01;2;120;3;0;1;14304
s01;2;120;3;0;0;16455
s01;2;120;3;0;1;18640
s01;2;120;3;0;0;19675
s01;2;120;3;0;1;22744
s01;2;120;3;0;0;24011
s01;2;120;3;0;1;27047
s01;2;120;3;0;0;28314
s01;2;120;3;0;1;31767
s01;2;120;3;0;0;32550
s01;2;120;3;0;1;38639
s01;2;120;3;0;0;39006
s01;2;120;3;0;1;42875
s01;2;120;3;0;0;44143
s01;2;120;3;0;1;52565
s01;2;120;3;0;0;54166
s01;2;120;3;0;1;58303
s01;2;120;3;0;0;62489
s01;2;120;3;0;1;66042
s01;2;120;3;0;0;69978
s01;2;120;3;0;1;79268
s01;2;120;3;0;0;79969
s01;2;120;3;0;1;81270
s01;2;120;3;0;0;82204
s01;2;120;3;0;1;84739
s01;2;120;3;0;0;85639
s01;2;120;3;0;1;86390
s01;2;120;3;0;0;87691
s01;2;120;3;0;1;90994
s01;2;120;3;0;0;95464
s01;2;120;3;0;1;96081
s01;2;120;3;0;0;98566
s01;2;120;3;0;1;100684
s01;2;120;3;0;0;101084
s01;2;120;3;0;1;105320
s01;2;120;3;0;0;106154
s01;2;120;3;0;1;111992
s01;2;120;3;0;0;116862
s01;2;120;3;0;1;119314
s01;3;120;1;0;0;984
s01;3;120;1;0;1;17813
s01;3;120;1;0;0;24718
s01;3;120;1;0;1;27003
s01;3;120;1;0;0;33591
s01;3;120;1;0;1;34625
s01;3;120;1;0;0;40396
s01;3;120;1;0;1;45966
s01;3;120;1;0;0;47334
s01;3;120;1;0;1;52322
s01;3;120;1;0;0;53089
s01;3;120;1;0;1;57625
s01;3;120;1;2;0;60944
s01;3;120;1;2;1;61728
